Designator,Mid X,Mid Y,Rotation,Layer
D_1,298.196,-153.67,90.0,bottom
D_14,68.2625,-171.45,90.0,bottom
D_56,65.88125,-115.09375,90.0,bottom
D_57,75.40625,-133.35,90.0,bottom
D_58,84.93125,-152.3775,90.0,bottom
D_59,89.69375,-171.45,90.0,bottom
D_60,84.1375,-114.2775,90.0,bottom
D_61,94.43375,-133.3275,90.0,bottom
D_62,103.98125,-152.3775,90.0,bottom
D_63,113.4364,-171.3992,90.0,bottom
D_64,103.98125,-114.2775,90.0,bottom
D_65,113.50625,-133.35,90.0,bottom
D_66,123.03125,-152.3775,90.0,bottom
D_67,123.03125,-114.3,90.0,bottom
D_68,132.55625,-133.35,90.0,bottom
D_69,142.08125,-152.3775,90.0,bottom
D_70,142.12125,-114.3,90.0,bottom
D_71,151.60625,-133.35,90.0,bottom
D_72,161.13125,-152.4,90.0,bottom
D_73,161.13125,-114.3,90.0,bottom
D_74,170.65625,-133.3275,90.0,bottom
D_75,180.18125,-152.4,90.0,bottom
D_76,188.03375,-171.4275,90.0,bottom
D_77,180.18125,-114.3,90.0,bottom
D_78,189.70625,-133.35,90.0,bottom
D_79,199.20875,-152.3775,90.0,bottom
D_80,199.23125,-114.255,90.0,bottom
D_81,208.73375,-133.35,90.0,bottom
D_82,218.25875,-152.3775,90.0,bottom
D_83,218.25875,-114.2775,90.0,bottom
D_84,227.78375,-133.3275,90.0,bottom
D_85,237.33125,-152.3775,90.0,bottom
D_86,237.35375,-114.2775,90.0,bottom
D_87,246.85625,-133.35,90.0,bottom
D_88,256.38125,-152.4,90.0,bottom
D_89,258.2164,-171.45,90.0,bottom
D_90,256.38125,-114.3,90.0,bottom
D_91,265.88375,-133.3275,90.0,bottom
D_92,275.40875,-152.3775,90.0,bottom
D_93,280.19375,-171.4275,90.0,bottom
D_94,275.43125,-114.3,90.0,bottom
D_95,284.93375,-133.3275,90.0,bottom
D_96,301.2948,-171.3992,90.0,bottom
D_97,298.45,-114.3,90.0,bottom
D_98,301.498,-137.16,90.0,bottom
J2,306.775,-118.11,0.0,top
J3,45.24375,-118.11,180.0,top
J4,306.775,-168.91,0.0,top
J5,45.24375,-168.91,180.0,top
K_1,290.5125,-149.4882,0.0,top
K_100,104.775,-168.5382,0.0,top
K_101,95.25,-111.3882,0.0,top
K_102,104.775,-130.4382,0.0,top
K_103,114.3,-149.4882,0.0,top
K_104,114.3,-111.3882,0.0,top
K_105,123.825,-130.4382,0.0,top
K_106,133.35,-149.4882,0.0,top
K_107,133.35,-111.3882,0.0,top
K_108,142.875,-130.4382,0.0,top
K_109,152.4,-149.4882,0.0,top
K_110,152.4,-111.3882,0.0,top
K_111,161.925,-130.4382,0.0,top
K_112,171.45,-149.4882,0.0,top
K_113,178.59375,-171.5262,0.0,top
K_114,171.45,-111.3882,0.0,top
K_115,180.975,-130.4382,0.0,top
K_116,190.5,-149.4882,0.0,top
K_117,190.5,-111.3882,0.0,top
K_118,200.025,-130.4382,0.0,top
K_119,209.55,-149.4882,0.0,top
K_120,209.55,-111.3882,0.0,top
K_121,219.075,-130.4382,0.0,top
K_122,228.6,-149.4882,0.0,top
K_123,228.6,-111.3882,0.0,top
K_124,238.125,-130.4382,0.0,top
K_125,247.65,-149.4882,0.0,top
K_126,250.03125,-168.5382,0.0,top
K_127,247.65,-111.3882,0.0,top
K_128,257.175,-130.4382,0.0,top
K_129,266.7,-149.4882,0.0,top
K_130,271.4625,-168.5382,0.0,top
K_131,266.7,-111.3882,0.0,top
K_132,276.225,-130.4382,0.0,top
K_133,292.89375,-168.5382,0.0,top
K_134,290.5125,-111.3882,0.0,top
K_135,295.275,-130.4382,0.0,top
K_14,56.25,-115.68125,0.0,top
K_15,61.0125,-134.73125,0.0,top
K_16,65.775,-153.78125,0.0,top
K_17,80.0625,-172.83125,0.0,top
K_18,75.3,-115.68125,0.0,top
K_19,84.825,-134.73125,0.0,top
K_20,94.35,-153.78125,0.0,top
K_21,103.875,-172.83125,0.0,top
K_22,94.35,-115.68125,0.0,top
K_23,103.875,-134.73125,0.0,top
K_24,113.4,-153.78125,0.0,top
K_25,113.4,-115.68125,0.0,top
K_26,122.925,-134.73125,0.0,top
K_27,132.45,-153.78125,0.0,top
K_28,132.45,-115.68125,0.0,top
K_29,141.975,-134.73125,0.0,top
K_30,151.5,-153.78125,0.0,top
K_31,151.5,-115.68125,0.0,top
K_32,161.025,-134.73125,0.0,top
K_33,170.55,-153.78125,0.0,top
K_34,177.69375,-172.83125,0.0,top
K_35,170.55,-115.68125,0.0,top
K_36,180.075,-134.73125,0.0,top
K_37,189.6,-153.78125,0.0,top
K_38,189.6,-115.68125,0.0,top
K_39,199.125,-134.73125,0.0,top
K_40,208.65,-153.78125,0.0,top
K_41,208.65,-115.68125,0.0,top
K_42,218.175,-134.73125,0.0,top
K_43,227.7,-153.78125,0.0,top
K_44,227.7,-115.68125,0.0,top
K_45,237.225,-134.73125,0.0,top
K_46,246.75,-153.78125,0.0,top
K_47,249.13125,-172.83125,0.0,top
K_48,246.75,-115.68125,0.0,top
K_49,256.275,-134.73125,0.0,top
K_50,265.8,-153.78125,0.0,top
K_51,270.5625,-172.83125,0.0,top
K_52,265.8,-115.68125,0.0,top
K_53,275.325,-134.73125,0.0,top
K_54,289.6125,-153.78125,0.0,top
K_55,291.99375,-172.83125,0.0,top
K_56,289.6125,-115.68125,0.0,top
K_57,294.375,-134.73125,0.0,top
K_70,59.53125,-168.5382,0.0,top
K_71,58.63125,-172.83125,0.0,top
K_93,57.15,-111.3882,0.0,top
K_94,61.9125,-130.4382,0.0,top
K_95,66.675,-152.4762,0.0,top
K_96,80.9625,-168.5382,0.0,top
K_97,76.2,-111.3882,0.0,top
K_98,85.725,-130.4382,0.0,top
K_99,95.25,-149.4882,0.0,top
U1,201.18,-172.466,270.0,bottom
